method,model_scope,primary_scope,metric,interface,n_models,n_contrasts,n_model_contrast_strata,n_pairs,mean_adjusted_gain,ci_low,ci_high,positive_strata,negative_strata,confidence,n_boot,method_label,interface_label,metric_label
caa_residual_stream,all_evaluated_models,True,current_label_margin,letter_canonical,4,3,,1536,4.628112772303737,4.591521248672184,4.662971375216084,,,0.95,5000,CAA residual stream,T/N/E (source),Current label
caa_residual_stream,all_evaluated_models,True,current_label_margin,letter_permutation_expected_taboo_normal,4,3,,1536,-0.3275237224426947,-0.3513932567028999,-0.3038315811397561,,,0.95,5000,CAA residual stream,E/T/N,Current label
caa_residual_stream,all_evaluated_models,True,current_label_margin,letter_permutation_normal_expected_taboo,4,3,,1536,-0.9671039840982606,-0.9946099820484716,-0.9384177428163174,,,0.95,5000,CAA residual stream,N/E/T,Current label
caa_residual_stream,all_evaluated_models,True,current_label_margin,letter_permutation_normal_taboo_expected,4,3,,1536,0.5589587428503567,0.5347413152143258,0.582798331896774,,,0.95,5000,CAA residual stream,N/T/E,Current label
caa_residual_stream,all_evaluated_models,True,current_label_margin,letter_permutation_taboo_expected_normal,4,3,,1536,2.181641448573727,2.1485277852075844,2.2158865247423662,,,0.95,5000,CAA residual stream,T/E/N,Current label
caa_residual_stream,all_evaluated_models,True,current_label_margin,letter_reversed,4,3,,1536,0.0227977971494611,-0.0030908819901138,0.0473299196948453,,,0.95,5000,CAA residual stream,E/N/T,Current label
caa_residual_stream,all_evaluated_models,True,extraction_slot_margin,letter_canonical,4,3,,1536,4.628112772303737,4.592024931617392,4.664395681050632,,,0.95,5000,CAA residual stream,T/N/E (source),Extraction ID
caa_residual_stream,all_evaluated_models,True,extraction_slot_margin,letter_permutation_expected_taboo_normal,4,3,,1536,3.004188347385369,2.979271931428359,3.0298100795075555,,,0.95,5000,CAA residual stream,E/T/N,Extraction ID
caa_residual_stream,all_evaluated_models,True,extraction_slot_margin,letter_permutation_normal_expected_taboo,4,3,,1536,3.0740965698612848,3.045677637204418,3.1036438680655567,,,0.95,5000,CAA residual stream,N/E/T,Extraction ID
caa_residual_stream,all_evaluated_models,True,extraction_slot_margin,letter_permutation_normal_taboo_expected,4,3,,1536,3.5629180069961066,3.5372464764851608,3.5895551814916287,,,0.95,5000,CAA residual stream,N/T/E,Extraction ID
caa_residual_stream,all_evaluated_models,True,extraction_slot_margin,letter_permutation_taboo_expected_normal,4,3,,1536,4.127427687211376,4.092104909784394,4.16114808440299,,,0.95,5000,CAA residual stream,T/E/N,Extraction ID
caa_residual_stream,all_evaluated_models,True,extraction_slot_margin,letter_reversed,4,3,,1536,3.1906144121454822,3.16548766485894,3.2170605255144697,,,0.95,5000,CAA residual stream,E/N/T,Extraction ID
caa_residual_stream,all_evaluated_models,True,current_label_minus_extraction_slot,letter_canonical,4,3,,1536,-1.1564823173178714e-19,-3.4694469519536144e-19,0.0,,,0.95,5000,CAA residual stream,T/N/E (source),Current - ID
caa_residual_stream,all_evaluated_models,True,current_label_minus_extraction_slot,letter_permutation_expected_taboo_normal,4,3,,1536,-3.331712069828063,-3.3752013872285733,-3.287709489538231,,,0.95,5000,CAA residual stream,E/T/N,Current - ID
caa_residual_stream,all_evaluated_models,True,current_label_minus_extraction_slot,letter_permutation_normal_expected_taboo,4,3,,1536,-4.041200553959546,-4.094224397572883,-3.989100671357914,,,0.95,5000,CAA residual stream,N/E/T,Current - ID
caa_residual_stream,all_evaluated_models,True,current_label_minus_extraction_slot,letter_permutation_normal_taboo_expected,4,3,,1536,-3.00395926414575,-3.043890611686382,-2.9654189281855032,,,0.95,5000,CAA residual stream,N/T/E,Current - ID
caa_residual_stream,all_evaluated_models,True,current_label_minus_extraction_slot,letter_permutation_taboo_expected_normal,4,3,,1536,-1.9457862386376488,-1.9752989983817355,-1.917315276891459,,,0.95,5000,CAA residual stream,T/E/N,Current - ID
caa_residual_stream,all_evaluated_models,True,current_label_minus_extraction_slot,letter_reversed,4,3,,1536,-3.1678166149960205,-3.213967818256028,-3.122230009763088,,,0.95,5000,CAA residual stream,E/N/T,Current - ID
iti_head_probe,source_interface_competent_models,True,current_label_margin,letter_canonical,3,3,9.0,1536,7.540399740791569,7.500412519194306,7.581160213174643,9.0,0.0,0.95,5000,ITI attention heads,T/N/E (source),Current label
iti_head_probe,source_interface_competent_models,True,current_label_margin,letter_permutation_expected_taboo_normal,3,3,9.0,1536,-2.185768117779797,-2.2217306685842644,-2.14948796521674,2.0,7.0,0.95,5000,ITI attention heads,E/T/N,Current label
iti_head_probe,source_interface_competent_models,True,current_label_margin,letter_permutation_normal_expected_taboo,3,3,9.0,1536,-3.050575845938659,-3.0929960975404915,-3.007164836008386,4.0,5.0,0.95,5000,ITI attention heads,N/E/T,Current label
iti_head_probe,source_interface_competent_models,True,current_label_margin,letter_permutation_normal_taboo_expected,3,3,9.0,1536,0.1362087672024415,0.0985209979620086,0.1748397349775766,5.0,4.0,0.95,5000,ITI attention heads,N/T/E,Current label
iti_head_probe,source_interface_competent_models,True,current_label_margin,letter_permutation_taboo_expected_normal,3,3,9.0,1536,1.7137459289282562,1.675801211902182,1.7513601846832576,6.0,3.0,0.95,5000,ITI attention heads,T/E/N,Current label
iti_head_probe,source_interface_competent_models,True,current_label_margin,letter_reversed,3,3,9.0,1536,-0.5594858425721113,-0.5991058293303595,-0.5186638493002046,5.0,4.0,0.95,5000,ITI attention heads,E/N/T,Current label
