metric,interface,mean_adjusted_gain,mean_adjusted_ci_low,mean_adjusted_ci_high,standardized_detectability,standardized_ci_low,standardized_ci_high,positive_pair_rate,positive_pair_rate_ci_low,positive_pair_rate_ci_high,confidence,n_boot,n_pairs,n_contrasts,n_models,n_random_seeds,estimand
original_slot_margin,letter_canonical,4.628112772303737,4.592024931617392,4.664395681050632,4.950649151918019,4.860985676468563,5.065133362791859,1.0,1.0,1.0,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_expected_taboo_normal,3.004188347385369,2.979271931428359,3.0298100795075555,4.425225709111483,4.339581034390116,4.537840274109676,0.9376302083333332,0.9348307291666668,0.9404305013020832,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_normal_expected_taboo,3.0740965698612848,3.045677637204418,3.1036438680655567,3.914998035830154,3.8490143852772407,4.004773493531789,0.9756510416666666,0.9726236979166668,0.978515625,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_normal_taboo_expected,3.5629180069961066,3.5372464764851608,3.5895551814916287,4.96224581262957,4.862684816434366,5.096905582004472,0.9693684895833332,0.96669921875,0.9721028645833332,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_permutation_taboo_expected_normal,4.127427687211376,4.092104909784394,4.16114808440299,4.552080616767619,4.47000575751711,4.655955927256551,0.96953125,0.9660807291666668,0.9727864583333332,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
original_slot_margin,letter_reversed,3.1906144121454822,3.16548766485894,3.2170605255144697,4.698055267135477,4.608714725837135,4.815406543647391,0.9441080729166668,0.9409822591145832,0.9472013346354168,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_canonical,-1.1564823173178714e-19,-3.4694469519536144e-19,0.0,,,,0.0,0.0,0.0,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_expected_taboo_normal,-3.331712069828063,-3.3752013872285733,-3.287709489538231,-3.309583476936586,-3.406475130170357,-3.235890960003009,0.1410481770833333,0.13759765625,0.1444986979166666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_normal_expected_taboo,-4.041200553959546,-4.094224397572883,-3.989100671357914,-3.040703776293363,-3.114197037191156,-2.9851055780563494,0.0911783854166666,0.0863281249999999,0.0959635416666666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_normal_taboo_expected,-3.00395926414575,-3.043890611686382,-2.9654189281855032,-3.0123002662535767,-3.123872381082072,-2.9306608187676724,0.0962565104166666,0.09111328125,0.1013346354166666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_permutation_taboo_expected_normal,-1.9457862386376488,-1.9752989983817355,-1.917315276891459,-2.5046506365957746,-2.5774157796862798,-2.4497729525579794,0.1875,0.1802734375,0.1942057291666666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_minus_original_slot,letter_reversed,-3.1678166149960205,-3.213967818256028,-3.1222300097630877,-3.375689767468241,-3.461348947168393,-3.307993854060391,0.1287109374999999,0.12366455078125,0.1335611979166666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_canonical,4.628112772303737,4.591521248672184,4.662971375216084,4.950649151918019,4.859549108671186,5.06834992933628,1.0,1.0,1.0,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_expected_taboo_normal,-0.3275237224426947,-0.3513932567028999,-0.3038315811397561,-1.3028969952550202,-1.3800413705978103,-1.2345543295201575,0.3669921875,0.36171875,0.3721354166666666,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_normal_expected_taboo,-0.9671039840982606,-0.9946099820484716,-0.9384177428163174,-1.6091031371391138,-1.6692679896944982,-1.5608434717583903,0.2263346354166666,0.2169588216145833,0.2363289388020833,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_normal_taboo_expected,0.5589587428503567,0.5347413152143258,0.582798331896774,1.320445802675099,1.2345133892715705,1.4121689521232588,0.6856119791666666,0.68245361328125,0.6887695312500001,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_permutation_taboo_expected_normal,2.181641448573727,2.1485277852075844,2.2158865247423662,1.3595922273155283,1.268607856455643,1.4627554747514966,0.6965820312499998,0.69326171875,0.6999674479166667,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
semantic_target_margin,letter_reversed,0.0227977971494611,-0.0030908819901138,0.0473299196948453,0.2243624791338646,0.1398220781587079,0.307587409331884,0.5949218749999999,0.5881502278645834,0.6014656575520833,0.95,5000,1536,3,4,5,equal_contrast_mean_over_model_seed_pair_effects
