metric,model_alias,model_name,pair_type,interface,random_seed,n_pairs,mean_adjusted_gain,adjusted_gain_sd,positive_pair_rate,standardized_detectability
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_canonical,13,512,3.165761709213257,0.5570357718068674,1.0,5.683228743002297
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_canonical,29,512,3.132894992828369,0.6170887172413513,1.0,5.076895599118617
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_canonical,47,512,2.848621924718221,0.5791597163659054,1.0,4.918542923863337
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_canonical,71,512,3.149136702219645,0.5575657371216304,1.0,5.64800971895566
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_canonical,101,512,3.1092659632364907,0.5465795277921739,1.0,5.688588403220853
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_permutation_expected_taboo_normal,13,512,2.597447077433268,0.3905909093602154,1.0,6.650044881197733
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_permutation_expected_taboo_normal,29,512,2.502957979838053,0.4239405817803303,1.0,5.904030157544553
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_permutation_expected_taboo_normal,47,512,2.3498080571492515,0.4042404037007097,1.0,5.812897562038344
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_permutation_expected_taboo_normal,71,512,2.6215432484944663,0.4116308084511985,1.0,6.368675994778624
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_permutation_expected_taboo_normal,101,512,2.624082088470459,0.4330972225861882,1.0,6.058875355517328
original_slot_margin,gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,letter_permutation_normal_expected_taboo,13,512,2.0173704624176025,0.5098672453488383,1.0,3.9566582886440735
