requested_layer_fraction,mode,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_strata,n_boot,confidence,inference_unit
0.5,mean_local_gradient_norm_matched,source_interface_effect,0.3552753472464853,0.3465406057628917,0.3638209078050041,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,mean_local_gradient_norm_matched,current_label_effect,0.0840995171954811,0.0785767919276535,0.0898209534816465,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,mean_local_gradient_norm_matched,extraction_identifier_effect,0.1666628313526644,0.1632318951666054,0.1700143834453314,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,mean_local_gradient_norm_matched,extraction_identifier_advantage,0.1007771099920129,0.092675146488084,0.1088609632946244,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,raw_canonical_direction,source_interface_effect,0.1320603842568743,0.1251374723242565,0.139281327091291,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,raw_canonical_direction,current_label_effect,0.0761121153067885,0.0722114067850148,0.0799092556964631,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,raw_canonical_direction,extraction_identifier_effect,0.0446306903679821,0.0410706038834374,0.0480718984082975,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,raw_canonical_direction,extraction_identifier_advantage,-0.0353019236464888,-0.0426543406773055,-0.0281834299463724,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_orthogonal_norm_matched,source_interface_effect,0.0061286679216815,0.0044564821852813,0.0078192689765931,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_orthogonal_norm_matched,current_label_effect,0.0398737841393919,0.0374728605018043,0.0423294794003615,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_orthogonal_norm_matched,extraction_identifier_effect,-0.0280021747159613,-0.0294351018800017,-0.0265724321493433,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_orthogonal_norm_matched,extraction_identifier_advantage,-0.076354210887384,-0.0803422870531201,-0.0723272469082812,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_projection_norm_matched,source_interface_effect,0.2894290910147295,0.2805868309756978,0.2984452853227555,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_projection_norm_matched,current_label_effect,0.0678516187543399,0.0617459956471608,0.0737085359510934,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_projection_norm_matched,extraction_identifier_effect,0.14402860876462,0.1400186436632699,0.148183885928774,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,readout_projection_norm_matched,extraction_identifier_advantage,0.0939772327018658,0.0841842456560414,0.1038341447304403,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,mean_local_gradient_norm_matched,source_interface_effect,0.4807473190885503,0.4687185301196863,0.4923321178005433,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,mean_local_gradient_norm_matched,current_label_effect,0.0677483520915037,0.0595111150719661,0.0758535854233478,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,mean_local_gradient_norm_matched,extraction_identifier_effect,0.2798129285752907,0.2757535374804841,0.2840058298588221,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,mean_local_gradient_norm_matched,extraction_identifier_advantage,0.2676139089854132,0.2567466458296688,0.2785500343674207,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,source_interface_effect,0.1839905195235284,0.1756147058325228,0.1926850437715682,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,current_label_effect,0.0359387116346738,0.0314213723779603,0.0404521643208242,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,extraction_identifier_effect,0.1067597141995823,0.1036743216844282,0.1101368311923965,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,extraction_identifier_advantage,0.0883410453043059,0.0812591355847909,0.0956161941990385,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
