model_alias,requested_layer_fraction,readout_energy_share,readout_subspace_rank,model_label
gemma2_9b_it,0.5,0.02009331953581017,16.0,Gemma
gemma2_9b_it,0.625,0.11997603819171172,16.0,Gemma
gemma2_9b_it,0.75,0.16590545474743154,8.0,Gemma
gemma2_9b_it,0.875,0.17159721501598624,4.0,Gemma
llama3_1_8b_instruct,0.5,0.06890831773987943,4.0,Llama
llama3_1_8b_instruct,0.625,0.1676143115790053,4.0,Llama
llama3_1_8b_instruct,0.75,0.1849934755814747,4.0,Llama
llama3_1_8b_instruct,0.875,0.17134482609889537,4.0,Llama
mistral7b_instruct_v03,0.5,0.10120011536681246,16.0,Mistral
mistral7b_instruct_v03,0.625,0.14777043652418267,16.0,Mistral
mistral7b_instruct_v03,0.75,0.10880081516263133,8.0,Mistral
mistral7b_instruct_v03,0.875,0.17390042189951357,8.0,Mistral
qwen2_5_7b_instruct,0.5,0.002697518960717267,16.0,Qwen
qwen2_5_7b_instruct,0.625,0.010073920614940399,16.0,Qwen
qwen2_5_7b_instruct,0.75,0.1548352293294334,16.0,Qwen
qwen2_5_7b_instruct,0.875,0.31790604868991007,8.0,Qwen
