metric,interface,mean_adjusted_gain,mean_adjusted_ci_low,mean_adjusted_ci_high,standardized_detectability,standardized_ci_low,standardized_ci_high,positive_pair_rate,positive_pair_rate_ci_low,positive_pair_rate_ci_high,n_pairs,n_groups,n_model_contrast_seed_strata,n_boot,confidence,inference_unit
original_slot_margin,letter_canonical,4.628112772303737,4.585949771424408,4.668751783580808,4.950649151918023,4.8529939083983,5.080133221069273,1.0,1.0,1.0,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
original_slot_margin,letter_permutation_expected_taboo_normal,3.004188347385368,2.977653885207032,3.032264946874096,4.425225709111476,4.328490325656312,4.553822658559707,0.9376302083333332,0.9345093051201904,0.9408484420862636,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
original_slot_margin,letter_permutation_normal_expected_taboo,3.074096569861285,3.0440236342707587,3.104273945117615,3.914998035830151,3.839296297447776,4.008724421863552,0.9756510416666668,0.9723855423379072,0.9789256904537028,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
original_slot_margin,letter_permutation_normal_taboo_expected,3.562918006996107,3.533845566252168,3.5923558937021896,4.962245812629585,4.8575518046387,5.105128749133656,0.9693684895833332,0.966602054566376,0.9722642006612474,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
original_slot_margin,letter_permutation_taboo_expected_normal,4.127427687211377,4.088919917396238,4.167007528150257,4.552080616767625,4.45521809070095,4.672794891975723,0.96953125,0.9655923471315656,0.973276518822652,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
original_slot_margin,letter_reversed,3.190614412145482,3.163307710465163,3.2196496392056355,4.6980552671354765,4.602959613548658,4.821831804657963,0.9441080729166668,0.9406972195788028,0.9476365757566254,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_minus_original_slot,letter_canonical,-1.1564823173178714e-19,-3.610665213959018e-19,0.0,,,,0.0,0.0,0.0,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_minus_original_slot,letter_permutation_expected_taboo_normal,-3.331712069828064,-3.380912356965465,-3.281678001906804,-3.309583476936582,-3.4066684031946046,-3.233351445379253,0.1410481770833333,0.1370351779113012,0.1451928540586952,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_minus_original_slot,letter_permutation_normal_expected_taboo,-4.041200553959546,-4.096014332118104,-3.988607079990739,-3.0407037762933617,-3.1233966331504086,-2.9777012296150525,0.0911783854166666,0.0856890608164769,0.0966651930235203,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_minus_original_slot,letter_permutation_normal_taboo_expected,-3.0039592641457507,-3.049468912533332,-2.958427892075024,-3.01230026625358,-3.1353996794251504,-2.918738701636416,0.0962565104166666,0.0910431118703537,0.1018217516105013,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_minus_original_slot,letter_permutation_taboo_expected_normal,-1.9457862386376492,-1.980381673360834,-1.9116620360023828,-2.504650636595779,-2.5826376974645733,-2.446310727016423,0.1875,0.17945679986075,0.1956756234386538,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_minus_original_slot,letter_reversed,-3.1678166149960205,-3.2234344096526977,-3.115486401841516,-3.375689767468248,-3.47797733733089,-3.2967817772578587,0.1287109375,0.122941695030134,0.1345466308892599,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_target_margin,letter_canonical,4.628112772303737,4.587267753637642,4.669907074581462,4.950649151918023,4.852947619345049,5.079224181219771,1.0,1.0,1.0,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_target_margin,letter_permutation_expected_taboo_normal,-0.3275237224426952,-0.3562356633036347,-0.3005208176931013,-1.30289699525503,-1.3849737203448311,-1.2308317582200017,0.3669921875,0.3616389064110156,0.3723605315174033,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_target_margin,letter_permutation_normal_expected_taboo,-0.9671039840982608,-0.9963186958800432,-0.9379028017765748,-1.6091031371391162,-1.674435240692674,-1.552728170982771,0.2263346354166666,0.2153865540049539,0.2374137281632344,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_target_margin,letter_permutation_normal_taboo_expected,0.5589587428503567,0.53197633212268,0.5866216918026582,1.3204458026750998,1.2245344505191311,1.421617026873845,0.6856119791666667,0.6822994272633524,0.6889321327402684,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_target_margin,letter_permutation_taboo_expected_normal,2.181641448573727,2.139410967182148,2.222798619542616,1.359592227315529,1.2642299239035426,1.465007039163598,0.69658203125,0.6926381398839826,0.7003552606966738,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
semantic_target_margin,letter_reversed,0.0227977971494613,-0.0080703210416394,0.0532190239091091,0.2243624791338685,0.1364279576149497,0.3162859458843046,0.594921875,0.5873353007697982,0.6023630245114555,1536,827,60,5000,0.95,setting_behavior_group; resampled jointly across contrasts; equal model-contrast-random-seed stratum weight
