scope,model_alias,metric,n_pairs,n_contrasts,mean,ci_low,ci_high,ci_excludes_zero,confidence,estimand,p_sign_flip,p_holm
all_cells,gemma2_9b_it,identifier_minus_semantics,1536,3,-0.8619573119981789,-0.8768689168272195,-0.846629209448526,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,gemma2_9b_it,identifier_minus_row,1536,3,-0.1643505666726901,-0.1680541033638112,-0.1606998042467935,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,llama3_1_8b_instruct,identifier_minus_semantics,1536,3,-0.1349520938080034,-0.1422391203427572,-0.1277463891049042,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,llama3_1_8b_instruct,identifier_minus_row,1536,3,-0.0668191523463637,-0.0688726050066359,-0.0647432343091493,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,mistral7b_instruct_v03,identifier_minus_semantics,1536,3,0.0354607082029551,0.0231922527263515,0.0479222723972742,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,mistral7b_instruct_v03,identifier_minus_row,1536,3,0.3449435411136091,0.3399145596327237,0.3499743868332402,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,qwen2_5_7b_instruct,identifier_minus_semantics,1536,3,-2.9635994913818946,-3.006313568952007,-2.9188252753863058,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
all_cells,qwen2_5_7b_instruct,identifier_minus_row,1536,3,-0.2230962553362643,-0.2402109009083766,-0.2056253253266249,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,gemma2_9b_it,identifier_minus_semantics,1536,3,-0.8619573119981789,-0.8771062622835607,-0.8467696385067187,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,gemma2_9b_it,identifier_minus_row,1536,3,-0.1643505666726901,-0.1680729654376153,-0.1606928261617819,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,llama3_1_8b_instruct,identifier_minus_semantics,1536,3,-0.1697606071829795,-0.1775683839943398,-0.1621531227638048,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,llama3_1_8b_instruct,identifier_minus_row,1536,3,-0.1111550778150558,-0.114958840691381,-0.1073468284681439,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,mistral7b_instruct_v03,identifier_minus_semantics,1536,3,0.1710121912793034,0.1615572523754385,0.1808827026872821,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,mistral7b_instruct_v03,identifier_minus_row,1536,3,0.3939381099291264,0.3901660279163884,0.3978257154750209,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,qwen2_5_7b_instruct,identifier_minus_semantics,1536,3,-2.9635994913818946,-3.0078937143512534,-2.9201034205234158,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
competence_gated,qwen2_5_7b_instruct,identifier_minus_row,1536,3,-0.2230962553362643,-0.2397486764151656,-0.2060242847488373,True,0.95,equal_contrast_mean_over_fixed_interface_design,4.999750012499375e-05,0.0003999800009999
