scope,model_alias,model_name,behavior,multiplier,n_models,n_items,mean_delta_judge_score,ci_low,ci_high,p_sign_flip,expected_direction,direction_consistent,ci_supports_expected_direction,model_label
equal_model_average,all_equal_weight,all_equal_weight,hallucination,-2.0,2,50,0.48,-0.35,1.29,0.2756724327567243,decrease,False,False,all_equal_weight
equal_model_average,all_equal_weight,all_equal_weight,hallucination,2.0,2,50,1.89,1.21,2.61,9.999000099990002e-05,increase,True,True,all_equal_weight
equal_model_average,all_equal_weight,all_equal_weight,refusal,-2.0,2,50,-0.18,-0.4002499999999998,0.02,0.1376862313768623,decrease,True,False,all_equal_weight
equal_model_average,all_equal_weight,all_equal_weight,refusal,2.0,2,50,-0.11,-0.4,0.18,0.5148485151484852,increase,False,False,all_equal_weight
equal_model_average,all_equal_weight,all_equal_weight,sycophancy,-2.0,2,53,-0.3773584905660377,-0.7169811320754716,-0.0563679245283053,0.0362963703629637,decrease,True,True,all_equal_weight
equal_model_average,all_equal_weight,all_equal_weight,sycophancy,2.0,2,53,1.481132075471698,0.9056603773584906,2.10377358490566,9.999000099990002e-05,increase,True,True,all_equal_weight
per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,hallucination,-2.0,1,50,0.98,0.1,1.86,0.0426957304269573,decrease,False,False,Llama-2-13B
per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,hallucination,2.0,1,50,2.78,1.74,3.86,9.999000099990002e-05,increase,True,True,Llama-2-13B
per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,hallucination,-2.0,1,50,-0.02,-1.08,1.0,1.0,decrease,True,False,Llama-2-7B
per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,hallucination,2.0,1,50,1.0,0.24,1.78,0.0171982801719828,increase,True,True,Llama-2-7B
per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,refusal,-2.0,1,50,-0.08,-0.5604999999999996,0.32,0.8162183781621838,decrease,True,False,Llama-2-13B
per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,refusal,2.0,1,50,-0.4,-0.88,0.0,0.1081891810818918,increase,False,False,Llama-2-13B
per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,refusal,-2.0,1,50,-0.28,-0.72,0.14,0.2416758324167583,decrease,True,False,Llama-2-7B
per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,refusal,2.0,1,50,0.18,-0.36,0.72,0.6015398460153984,increase,True,False,Llama-2-7B
per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,sycophancy,-2.0,1,53,-0.2452830188679245,-0.7169811320754716,0.2075471698113207,0.3624637536246375,decrease,True,False,Llama-2-13B
per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,sycophancy,2.0,1,53,0.7358490566037735,0.0754716981132075,1.471698113207547,0.0533946605339466,increase,True,True,Llama-2-13B
per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,sycophancy,-2.0,1,53,-0.5094339622641509,-1.0377358490566038,-0.0377358490566037,0.0697930206979302,decrease,True,True,Llama-2-7B
per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,sycophancy,2.0,1,53,2.2264150943396226,1.471698113207547,3.0004716981132007,9.999000099990002e-05,increase,True,True,Llama-2-7B
