model_alias,model_name,pair_type,baseline_mode,reference_mode,cosine
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,mean_local_gradient_norm_matched,raw_canonical_direction,0.2889792888338862
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.8220595495808738
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,rank1_local_gradient_norm_matched,raw_canonical_direction,0.2898981424438379
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.8253125719385097
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,unembedding_difference_norm_matched,raw_canonical_direction,0.0490672530576975
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,unembedding_difference_norm_matched,readout_projection_norm_matched,0.053622264530968
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_expected,mean_local_gradient_norm_matched,raw_canonical_direction,0.3440414414857118
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_expected,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.8457568575562314
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_expected,rank1_local_gradient_norm_matched,raw_canonical_direction,0.2785092908074075
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_expected,rank1_local_gradient_norm_matched,readout_projection_norm_matched,0.6843980818814095
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_expected,unembedding_difference_norm_matched,raw_canonical_direction,-0.0069801117585723
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_expected,unembedding_difference_norm_matched,readout_projection_norm_matched,0.0041556108780737
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_normal,mean_local_gradient_norm_matched,raw_canonical_direction,0.2901762933528136
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,taboo_vs_normal,mean_local_gradient_norm_matched,readout_projection_norm_matched,0.6926942060977191
