model_alias,model_name,mapping_name,mapping_family,mode,n_pairs,n_pair_types,n_pairs_with_moved_targets,semantic_accuracy_gain_mean,semantic_accuracy_gain_ci_low,semantic_accuracy_gain_ci_high,semantic_accuracy_gain_n,original_letter_accuracy_gain_mean,original_letter_accuracy_gain_ci_low,original_letter_accuracy_gain_ci_high,original_letter_accuracy_gain_n,semantic_prob_gain_mean,semantic_prob_gain_ci_low,semantic_prob_gain_ci_high,semantic_prob_gain_n,original_letter_prob_gain_mean,original_letter_prob_gain_ci_low,original_letter_prob_gain_ci_high,original_letter_prob_gain_n,moved_semantic_accuracy_gain_mean,moved_semantic_accuracy_gain_ci_low,moved_semantic_accuracy_gain_ci_high,moved_semantic_accuracy_gain_n,moved_original_letter_accuracy_gain_mean,moved_original_letter_accuracy_gain_ci_low,moved_original_letter_accuracy_gain_ci_high,moved_original_letter_accuracy_gain_n,moved_semantic_prob_gain_mean,moved_semantic_prob_gain_ci_low,moved_semantic_prob_gain_ci_high,moved_semantic_prob_gain_n,moved_original_letter_prob_gain_mean,moved_original_letter_prob_gain_ci_low,moved_original_letter_prob_gain_ci_high,moved_original_letter_prob_gain_n,semantic_minus_original_prob_gain_moved_mean,semantic_minus_original_prob_gain_moved_ci_low,semantic_minus_original_prob_gain_moved_ci_high,semantic_minus_original_prob_gain_moved_n,semantic_minus_original_accuracy_gain_moved_mean,semantic_minus_original_accuracy_gain_moved_ci_low,semantic_minus_original_accuracy_gain_moved_ci_high,semantic_minus_original_accuracy_gain_moved_n,js_shift_mean,js_shift_ci_low,js_shift_ci_high,js_shift_n
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,384,3,0,0.6927083333333334,0.6640625,0.7213541666666666,384,0.6927083333333334,0.6640625,0.7200520833333334,384,0.668579630220241,0.6469554171929607,0.6902593372816833,384,0.668579630220241,0.647221233991786,0.6910652865560829,384,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.4084938245395546,0.3924392467788742,0.4240269119099295,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,384,3,0,0.6432291666666666,0.6145833333333334,0.6705729166666667,384,0.6432291666666666,0.6145833333333333,0.671875,384,0.5819704280470996,0.5602299072634928,0.6035938803711604,384,0.5819704280470996,0.5614614616731447,0.6033740543381559,384,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.3520340764226707,0.3365504249198008,0.3675614996650259,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,384,3,0,0.04296875,0.0286458333333333,0.05859375,384,0.04296875,0.0286458333333333,0.05859375,384,0.039226311592453,0.0348988957310818,0.0438053780852897,384,0.039226311592453,0.034870977043253,0.0436816445594862,384,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0.0077690668250074,0.0070426607878645,0.0085160125118353,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,384,3,384,0.1497395833333333,0.1223958333333333,0.17578125,384,0.58984375,0.5598958333333333,0.6197916666666666,384,0.1631902370078795,0.1429849650634579,0.1828948977202026,384,0.5648447764785184,0.5426633093135024,0.5870499976573531,384,-0.1666666666666666,-0.2044270833333333,-0.1302083333333333,384,0.4791666666666667,0.43359375,0.5221354166666666,384,-0.1346503124669927,-0.1596625731860048,-0.1097906077195498,384,0.4438793589166986,0.4119936035587065,0.4747789281483468,384,-0.5785296713836914,-0.6228314001388724,-0.5344039186054979,384,-0.6458333333333334,-0.7200520833333333,-0.57421875,384,0.352588470906926,0.3376188643755897,0.3681719413659173,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,384,3,384,0.1770833333333333,0.1484375,0.2044270833333333,384,0.53515625,0.5052083333333334,0.5638020833333334,384,0.1417763848929166,0.120309499360876,0.1626938725783431,384,0.4804850785364631,0.4587103451684794,0.5026941722184748,384,-0.11328125,-0.1536458333333333,-0.0741861979166671,384,0.37109375,0.3280924479166668,0.4153645833333333,384,-0.1032701190361438,-0.1314602503781623,-0.0755329672830618,384,0.352941838960831,0.3205613398440238,0.3846012327080804,384,-0.4562119579969748,-0.5053269994054511,-0.4061144937897747,384,-0.484375,-0.5572916666666666,-0.4114257812500004,384,0.2854790860231166,0.27148754104925,0.2989399875478293,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,384,3,384,-0.0221354166666666,-0.03515625,-0.0104166666666666,384,0.0221354166666666,0.0091145833333333,0.0364583333333333,384,-0.0180136118287919,-0.0214893156211473,-0.0145954041664784,384,0.0196375925758426,0.0156140496900358,0.0238011197630839,384,-0.0286458333333333,-0.046875,-0.0130208333333333,384,0.0260416666666666,0.0052083333333333,0.0481770833333333,384,-0.0224840000082622,-0.0273826831435144,-0.0176376741158189,384,0.0247338474970699,0.0189024717805295,0.0308175452678066,384,-0.0472178475053321,-0.0572844740262856,-0.0372990005938845,384,-0.0546875,-0.0924479166666666,-0.01953125,384,0.0054135666524814,0.0046491423087932,0.0062169599691413,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,384,3,384,0.2630208333333333,0.23828125,0.2864583333333333,384,0.3333333333333333,0.3020833333333333,0.3645833333333333,384,0.2748881801012824,0.2568230507571243,0.2933047480326798,384,0.2991744129215377,0.275547825130891,0.322387629935184,384,0.2643229166666667,0.2317708333333333,0.296875,384,0.33203125,0.2942708333333333,0.3684895833333333,384,0.2868746114274563,0.2620322261798373,0.3113751090325471,384,0.2764816505031883,0.2517179844945303,0.3002101390832265,384,0.0103929609242679,-0.0265574770614623,0.0468709239133913,384,-0.0677083333333333,-0.1263020833333333,-0.0077799479166671,384,0.3018604025298346,0.2878268858129156,0.3158390427082762,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,384,3,384,0.2135416666666666,0.1901041666666666,0.2369791666666666,384,0.3346354166666667,0.3033854166666667,0.3671875,384,0.2416555225703369,0.2235493481691988,0.2598770004810546,384,0.2699167650353821,0.2480653526854221,0.2924098370453298,384,0.2135416666666666,0.18359375,0.2421875,384,0.37890625,0.3450520833333333,0.4127604166666667,384,0.2650655237862303,0.240384293551284,0.2888046376196916,384,0.2759863041530572,0.2539597535734362,0.2976579175018011,384,-0.0109207803668269,-0.0471316395270133,0.0238696100177317,384,-0.1653645833333333,-0.21875,-0.1145833333333333,384,0.2741966257998917,0.2607093556484233,0.2875242094677478,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,384,3,384,-0.00390625,-0.01171875,0.00390625,384,0.0143229166666666,0.0052083333333333,0.0234375,384,-0.0048192009481529,-0.0079325005208052,-0.0018356630009596,384,0.0132965296252223,0.0103953608576678,0.0163397999219644,384,-0.0078125,-0.0143229166666666,-0.0026041666666666,384,0.01171875,0.00390625,0.0208333333333333,384,-0.0066221331075363,-0.0097128089337256,-0.0038447013060022,384,0.015244278559597,0.0124564510933851,0.0184027321137667,384,-0.0218664116671334,-0.0271351041231487,-0.0169699665672093,384,-0.01953125,-0.03125,-0.0091145833333333,384,0.0027315449334002,0.0021867227201649,0.0033351195257434,384
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,384,3,384,0.02734375,-0.0013020833333333,0.0546875,384,0.34765625,0.3190104166666666,0.3763020833333333,384,0.028456176883262,0.0097534413003481,0.0473445245906732,384,0.3231912833095218,0.3032977301166587,0.3421991151878804,384,0.02734375,-0.0013020833333333,0.0559895833333333,384,0.34765625,0.3190104166666667,0.3776041666666667,384,0.028456176883262,0.0100952108794662,0.0461884686934124,384,0.3231912833095218,0.3033421236221329,0.3429907582481974,384,-0.2947351064262597,-0.3253421722263248,-0.2641623307861666,384,-0.3203125,-0.3697916666666667,-0.2721354166666667,384,0.2619581237447436,0.2484992595754744,0.2750843653107482,384
