model_alias,model_name,mapping_name,mapping_family,mode,mean_semantic_prob_gain,mean_original_letter_prob_gain,mean_semantic_minus_original_prob_gain_moved,mean_js_shift
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,0.668579630220241,0.668579630220241,,0.4084938245395546
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,0.5819704280470996,0.5819704280470996,,0.3520340764226707
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,0.039226311592453,0.039226311592453,,0.0077690668250074
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,semantic_words,mean_local_gradient_norm_matched,-0.0051957680867705,0.1902120991292974,-0.195407867216068,0.1773937849158014
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,semantic_words,rank1_local_gradient_norm_matched,6.274389933243659e-06,0.164858732567447,-0.1648524581775138,0.1668290255240321
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,semantic_words,unembedding_difference_norm_matched,-0.0072802636551093,0.0049054614630676,-0.012185725118177,0.0030849560916931
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,0.028456176883262,0.3231912833095218,-0.2947351064262597,0.2619581237447436
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,0.0332423695021265,0.2646397886596716,-0.231397419157545,0.2142644364764729
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,-0.0111020436230925,0.0304654302890412,-0.0415674739121338,0.0051037102056465
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,0.2748881801012824,0.2991744129215377,0.0103929609242679,0.3018604025298346
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,0.2416555225703369,0.2699167650353821,-0.0109207803668269,0.2741966257998917
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,-0.0048192009481529,0.0132965296252223,-0.0218664116671334,0.0027315449334002
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,0.1631902370078795,0.5648447764785184,-0.5785296713836914,0.352588470906926
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,0.1417763848929166,0.4804850785364631,-0.4562119579969748,0.2854790860231167
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,-0.0180136118287919,0.0196375925758426,-0.0472178475053321,0.0054135666524814
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,semantic_words,mean_local_gradient_norm_matched,0.1476007814978643,0.3195415100550842,-0.2478692658365678,0.2164980979129541
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,semantic_words,rank1_local_gradient_norm_matched,0.1444676539182789,0.2769776696337835,-0.2211466235318261,0.2057576691016707
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,semantic_words,unembedding_difference_norm_matched,0.0124881370855594,0.0371833477699207,-0.033231935016829,0.0053611510236488
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,0.4503765404224396,0.4503765404224396,,0.1643113725880793
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,0.4502163231372833,0.4502163231372833,,0.1640917618089346
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,0.0923263529936472,0.0923263529936472,,0.0102870864426662
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_expected_taboo_normal,semantic_words,mean_local_gradient_norm_matched,-0.1786192879080772,0.3388798733552297,-0.517499161263307,0.1127890628034588
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_expected_taboo_normal,semantic_words,rank1_local_gradient_norm_matched,-0.1779355220496654,0.3366266588370005,-0.5145621808866659,0.112165154352072
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_expected_taboo_normal,semantic_words,unembedding_difference_norm_matched,-0.044804240266482,0.0854659179846445,-0.1302701582511266,0.0092733767175268
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,-0.1569936666637659,0.3451155523459117,-0.5021092190096775,0.1107853722394207
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,-0.1560063368330399,0.3409527639547984,-0.4969591007878383,0.109433358753532
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,semantic_words,unembedding_difference_norm_matched,-0.0352643107374509,0.0727644066015879,-0.1080287173390388,0.0069072900195701
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,semantic_words,mean_local_gradient_norm_matched,0.0785288605839014,0.3574455827474594,-0.377039256816109,0.1278958776983383
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,semantic_words,rank1_local_gradient_norm_matched,0.079817669155697,0.3544806092977524,-0.3709569831068317,0.1270796202462684
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,semantic_words,unembedding_difference_norm_matched,0.0113559104502201,0.0880747487147649,-0.1014981977641582,0.0097729963681693
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,semantic_words,mean_local_gradient_norm_matched,-0.0022564729054768,0.4215453068415324,-0.6149505575497946,0.1470219223058101
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,semantic_words,rank1_local_gradient_norm_matched,-0.0040371616681416,0.4205433130264282,-0.6171571811040243,0.1464571530304303
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,semantic_words,unembedding_difference_norm_matched,-0.0101155241330464,0.0895374218622843,-0.1309045553207397,0.0096427414546336
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,reversed_expected_normal_taboo,semantic_words,mean_local_gradient_norm_matched,-0.0085655997196833,0.3566257158915202,-0.5360730836788813,0.1106082591309265
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,reversed_expected_normal_taboo,semantic_words,rank1_local_gradient_norm_matched,-0.0090650307635466,0.3535586992899577,-0.5312098649640878,0.1091942122258788
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,reversed_expected_normal_taboo,semantic_words,unembedding_difference_norm_matched,0.0019698788722356,0.0762304464975992,-0.0953258424997329,0.0076738319925961
gemma2_9b_it,google/gemma-2-9b-it,canonical_taboo_normal_expected,semantic_words,mean_local_gradient_norm_matched,0.5984641990313927,0.5984641990313927,,0.369464474659593
gemma2_9b_it,google/gemma-2-9b-it,canonical_taboo_normal_expected,semantic_words,rank1_local_gradient_norm_matched,0.5820003232608238,0.5820003232608238,,0.3583817104394478
gemma2_9b_it,google/gemma-2-9b-it,canonical_taboo_normal_expected,semantic_words,unembedding_difference_norm_matched,0.1705774745593468,0.1705774745593468,,0.0723878725786336
gemma2_9b_it,google/gemma-2-9b-it,permutation_expected_taboo_normal,semantic_words,mean_local_gradient_norm_matched,-0.1727071994485716,0.3512442478289206,-0.5239514472774923,0.2102849411648859
gemma2_9b_it,google/gemma-2-9b-it,permutation_expected_taboo_normal,semantic_words,rank1_local_gradient_norm_matched,-0.1600665843658741,0.3257114086300134,-0.4857779929958876,0.1998074034812395
gemma2_9b_it,google/gemma-2-9b-it,permutation_expected_taboo_normal,semantic_words,unembedding_difference_norm_matched,-0.0485769909767744,0.1351681469629208,-0.1837451379396952,0.0500370082933642
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_expected_taboo,semantic_words,mean_local_gradient_norm_matched,-0.1914361389899568,0.4303955327098568,-0.6218316716998137,0.2381822694679034
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_expected_taboo,semantic_words,rank1_local_gradient_norm_matched,-0.1868416730173218,0.4166335129799942,-0.6034751859973161,0.2277583029315585
