scope,identifier_set,component,metric,estimate,ci_low,ci_high,n_groups,n_unique_pairs,n_model_contrast_mapping_strata,confidence,n_boot,inference_unit
all_cells,letters_abc,raw,extraction_identifier_effect,3.1852794377986964,3.1604324727877477,3.2104709602527106,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,raw,current_label_effect,0.4629411953423793,0.41697077388848175,0.5051791740456847,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,raw,id_advantage,2.722338242456317,2.6683537414017326,2.7797890312339626,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,projection,extraction_identifier_effect,3.041804470610805,3.0184403747281254,3.065234185065827,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,projection,current_label_effect,0.25096702023874967,0.21250459252625067,0.28667271623345775,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,projection,id_advantage,2.790837450372055,2.7446100243723923,2.8392594602192363,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,residual,extraction_identifier_effect,0.10410244217297683,0.09532314092767274,0.11270742739781897,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,residual,current_label_effect,0.2108095081600671,0.2026943210244226,0.21869734549911815,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,residual,id_advantage,-0.10670706598709027,-0.12010297006052922,-0.09308695979673651,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,raw,extraction_identifier_effect,1.3010700033356746,1.2848015724493884,1.3175575481095059,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,raw,current_label_effect,0.774927763439094,0.7386245741935948,0.8089011386744244,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,raw,id_advantage,0.5261422398965806,0.4850557474499795,0.5697566086790776,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,projection,extraction_identifier_effect,1.1344141939654946,1.1215335123260333,1.1475792381584584,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,projection,current_label_effect,0.4692567337770015,0.44098918902898115,0.4960428689903294,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,projection,id_advantage,0.6651574601884931,0.6337198151644499,0.6981798737765004,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,residual,extraction_identifier_effect,0.16342932004481553,0.15438815203757417,0.1725664025377996,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,residual,current_label_effect,0.3037054592588296,0.29488817802526135,0.3125710491921308,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,residual,id_advantage,-0.14027613921401402,-0.15515833626018374,-0.12511675681764875,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,raw,extraction_identifier_effect,0.35418047703957806,0.3484309430418619,0.35998413722052625,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,raw,current_label_effect,0.032520788341450196,0.027382800680716204,0.03750540555226924,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,raw,id_advantage,0.3216596886981279,0.31290269208412086,0.3306183103225871,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,projection,extraction_identifier_effect,0.26529706304427236,0.2610253601086551,0.26960870139408205,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,projection,current_label_effect,0.017933353028881053,0.013157811194334323,0.022464990145895352,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,projection,id_advantage,0.2473637100153913,0.2400318722450183,0.25489191754450585,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,residual,extraction_identifier_effect,0.09391843410364041,0.09120639854067555,0.0965911559031247,319,384,60,0.95,5000,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
