scope,identifier_set,comparison,statistic,estimate,ci_low,ci_high,n_groups,n_unique_pairs,n_model_contrast_mapping_strata,confidence,n_boot,ci_excludes_zero,inference_unit
all_cells,letters_abc,projection_retention_ratio,ratio_of_balanced_means,0.9549568664258088,0.9516177553293951,0.9582954090685148,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,residual_retention_ratio,ratio_of_balanced_means,0.032682357766677016,0.030005876880423468,0.03534843043301372,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_abc,projection_minus_residual_id,paired_difference,2.937702028437828,2.9130869351049307,2.9621406861102972,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,projection_retention_ratio,ratio_of_balanced_means,0.8719086529218959,0.864624375694581,0.8789085733605235,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,residual_retention_ratio,ratio_of_balanced_means,0.1256114733456436,0.11952916361609878,0.13163607855784398,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,letters_xyz,projection_minus_residual_id,paired_difference,0.9709848739206791,0.9565849483139777,0.9853796763821268,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,projection_retention_ratio,ratio_of_balanced_means,0.7490448521097526,0.7436346767549046,0.7544954896599471,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,residual_retention_ratio,ratio_of_balanced_means,0.2651711209173888,0.25983153510267737,0.27061823599321955,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
all_cells,numbers_123,projection_minus_residual_id,paired_difference,0.17137862894063194,0.16755704090352247,0.17518966621213303,319,384,60,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
vocabulary_competence,letters_abc,projection_retention_ratio,ratio_of_balanced_means,0.9556991821254984,0.9520172953206207,0.9593118548265783,319,384,51,0.95,5000,True,setting_behavior_group; jointly resampled across fixed model-contrast-mapping strata
