scope,alternative_identifier_set,reference_identifier_set,component,metric,comparison,estimate,ci_low,ci_high,ci_excludes_zero,n_groups,n_unique_pairs,n_model_contrast_mapping_strata
all_cells,letters_xyz,letters_abc,raw,extraction_identifier_margin_gain,alternative_minus_reference,-1.8842094344630216,-1.9030610100120213,-1.8653780167766914,True,319,384,60
all_cells,letters_xyz,letters_abc,raw,id_advantage,alternative_minus_reference,-2.1961960025597365,-2.227707468762866,-2.1655174844257585,True,319,384,60
all_cells,letters_xyz,letters_abc,projection,extraction_identifier_margin_gain,alternative_minus_reference,-1.9073902766453101,-1.9283906897345475,-1.8862117279605914,True,319,384,60
all_cells,letters_xyz,letters_abc,projection,id_advantage,alternative_minus_reference,-2.125679990183562,-2.156839160782947,-2.0956256643509383,True,319,384,60
all_cells,letters_xyz,letters_abc,residual,extraction_identifier_margin_gain,alternative_minus_reference,0.059326877871838705,0.051041268845933956,0.06766709975023462,True,319,384,60
all_cells,letters_xyz,letters_abc,residual,id_advantage,alternative_minus_reference,-0.03356907322692374,-0.04688683686878571,-0.019828876379758557,True,319,384,60
all_cells,numbers_123,letters_abc,raw,extraction_identifier_margin_gain,alternative_minus_reference,-2.8310989607591184,-2.8536521805216704,-2.8085439239399235,True,319,384,60
all_cells,numbers_123,letters_abc,raw,id_advantage,alternative_minus_reference,-2.400678553758189,-2.4515632673697505,-2.351082881764858,True,319,384,60
all_cells,numbers_123,letters_abc,projection,extraction_identifier_margin_gain,alternative_minus_reference,-2.7765074075665326,-2.798158851092775,-2.755330655734909,True,319,384,60
all_cells,numbers_123,letters_abc,projection,id_advantage,alternative_minus_reference,-2.543473740356664,-2.5858714211671723,-2.5014488290900347,True,319,384,60
all_cells,numbers_123,letters_abc,residual,extraction_identifier_margin_gain,alternative_minus_reference,-0.010184008069336415,-0.017988579436203442,-0.0023327330092602185,True,319,384,60
all_cells,numbers_123,letters_abc,residual,id_advantage,alternative_minus_reference,0.1889220119609187,0.17674086514585735,0.20079226285464827,True,319,384,60
vocabulary_competence,letters_xyz,letters_abc,raw,extraction_identifier_margin_gain,alternative_minus_reference,-1.4938551925289898,-1.5162291266986039,-1.471181447562416,True,319,384,39
vocabulary_competence,letters_xyz,letters_abc,raw,id_advantage,alternative_minus_reference,-1.695500304755301,-1.7334729921086693,-1.6589417377372722,True,319,384,39
vocabulary_competence,letters_xyz,letters_abc,projection,extraction_identifier_margin_gain,alternative_minus_reference,-1.469066442671017,-1.4918888950794715,-1.4460848426541681,True,319,384,39
vocabulary_competence,letters_xyz,letters_abc,projection,id_advantage,alternative_minus_reference,-1.5450380559628591,-1.5837071389593969,-1.5057911589583137,True,319,384,39
vocabulary_competence,letters_xyz,letters_abc,residual,extraction_identifier_margin_gain,alternative_minus_reference,0.018562388236228473,0.008118235196747679,0.02847637243371851,True,319,384,39
vocabulary_competence,letters_xyz,letters_abc,residual,id_advantage,alternative_minus_reference,-0.07274190515566331,-0.08995933563204554,-0.05602217114372056,True,319,384,39
vocabulary_competence,numbers_123,letters_abc,raw,extraction_identifier_margin_gain,alternative_minus_reference,-2.8589434283876827,-2.8823160659577307,-2.8348300829555013,True,319,384,51
vocabulary_competence,numbers_123,letters_abc,raw,id_advantage,alternative_minus_reference,-2.252538651319257,-2.3089506605947663,-2.198011102286788,True,319,384,51
vocabulary_competence,numbers_123,letters_abc,projection,extraction_identifier_margin_gain,alternative_minus_reference,-2.801021882296339,-2.8231408814778276,-2.7782743145644435,True,319,384,51
vocabulary_competence,numbers_123,letters_abc,projection,id_advantage,alternative_minus_reference,-2.402656695348959,-2.451098137869262,-2.3561141847872733,True,319,384,51
vocabulary_competence,numbers_123,letters_abc,residual,extraction_identifier_margin_gain,alternative_minus_reference,0.001438203760806252,-0.007370824868272586,0.010380605058190571,False,319,384,51
vocabulary_competence,numbers_123,letters_abc,residual,id_advantage,alternative_minus_reference,0.22032577630278527,0.2067650242841672,0.23387445534615933,True,319,384,51
common_competence,letters_xyz,letters_abc,raw,extraction_identifier_margin_gain,alternative_minus_reference,-1.4938551925289898,-1.516084854933397,-1.4714895170712867,True,319,384,39
common_competence,letters_xyz,letters_abc,raw,id_advantage,alternative_minus_reference,-1.695500304755301,-1.732607124300962,-1.6588119798696006,True,319,384,39
