target_mode,interface,metric,estimate,ci_low,ci_high,confidence,n_boot,n_pairs,n_contrasts,n_random_seeds,estimand,comparison_label,metric_label,interface_label
label_only_direction,direct_label_completion,patched_rank_correct,0.0029188368055555,-0.0002281358506944,0.0061309136284722,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking accuracy change,Direct labels
label_only_direction,opaque_completion,patched_rank_correct,0.0003797743055555,-0.0017472330729166,0.0024956597222222,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking accuracy change,Opaque codewords
label_only_direction,letter_canonical,patched_rank_correct,0.0003038194444444,-0.0014105902777777,0.0020399305555555,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking accuracy change,Original letters
label_only_direction,letter_reversed,patched_rank_correct,-0.0002170138888888,-0.0019748263888888,0.0015624999999999,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking accuracy change,Reversed letters
label_only_direction,direct_label_completion,discrimination_gap_change,0.0745149973779916,0.0564794798249689,0.0916631189309474,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking margin change,Direct labels
label_only_direction,opaque_completion,discrimination_gap_change,-0.0767325954461638,-0.084354814459657,-0.0693198896537029,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking margin change,Opaque codewords
label_only_direction,letter_canonical,discrimination_gap_change,-0.2400759578268561,-0.2590327951301717,-0.2217233507348121,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking margin change,Original letters
label_only_direction,letter_reversed,discrimination_gap_change,-0.1687736632302403,-0.1842191144591197,-0.1532389527779176,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Label-only minus random,Pair-ranking margin change,Reversed letters
mapping_balanced_direction,direct_label_completion,patched_rank_correct,-0.0073350694444444,-0.0109925672743055,-0.0038400607638889,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking accuracy change,Direct labels
mapping_balanced_direction,opaque_completion,patched_rank_correct,-0.0065646701388888,-0.0102541775173611,-0.0029730902777777,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking accuracy change,Opaque codewords
mapping_balanced_direction,letter_canonical,patched_rank_correct,-0.0042534722222222,-0.0067928059895833,-0.0017686631944444,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking accuracy change,Original letters
mapping_balanced_direction,letter_reversed,patched_rank_correct,-0.0024956597222222,-0.0049376085069444,4.367404513888495e-05,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking accuracy change,Reversed letters
mapping_balanced_direction,direct_label_completion,discrimination_gap_change,0.0189536342500812,-0.0095345702635434,0.0487863544271223,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking margin change,Direct labels
mapping_balanced_direction,opaque_completion,discrimination_gap_change,-0.0632869281922467,-0.0800568939794013,-0.0462523260422959,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking margin change,Opaque codewords
mapping_balanced_direction,letter_canonical,discrimination_gap_change,0.0473194181091255,0.0155350844838863,0.0784221057490342,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking margin change,Original letters
mapping_balanced_direction,letter_reversed,discrimination_gap_change,0.1093550634363459,0.0847463707413731,0.1340239054823501,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Mapping-balanced minus random,Pair-ranking margin change,Reversed letters
raw_pre_answer,direct_label_completion,patched_rank_correct,-0.0057074652777777,-0.0091799587673611,-0.0023220486111111,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking accuracy change,Direct labels
raw_pre_answer,opaque_completion,patched_rank_correct,-0.0016818576388888,-0.0051869032118055,0.0017154947916666,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking accuracy change,Opaque codewords
raw_pre_answer,letter_canonical,patched_rank_correct,-0.0147786458333333,-0.0198244900173611,-0.0098304578993055,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking accuracy change,Original letters
raw_pre_answer,letter_reversed,patched_rank_correct,-0.0017361111111111,-0.0062177191840277,0.0026695421006944,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking accuracy change,Reversed letters
raw_pre_answer,direct_label_completion,discrimination_gap_change,0.0980015028992461,0.0729205435439427,0.1235072516515436,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking margin change,Direct labels
raw_pre_answer,opaque_completion,discrimination_gap_change,-0.0792081673133199,-0.094259917129372,-0.0641542803756844,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking margin change,Opaque codewords
raw_pre_answer,letter_canonical,discrimination_gap_change,-0.8617275699973105,-0.9265199451867696,-0.794368726286468,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking margin change,Original letters
raw_pre_answer,letter_reversed,discrimination_gap_change,-0.1821371856559481,-0.220440708796442,-0.1446655547960352,0.95,5000,1536,3,5,equal_contrast_pair_bootstrap_after_seed_and_model_averaging,Raw minus random,Pair-ranking margin change,Reversed letters
