model_alias,model_name,comparison,interface,mean_adjusted_gain,mean_paired_standardized_gain,median_paired_standardized_gain,min_paired_standardized_gain,max_paired_standardized_gain,mean_positive_pair_rate,n_positive_cells,n_model_contrast_seed_cells,n_contrasts,seed_sd_paired_standardized_gain,n_random_seeds,random_seed_aggregation,interface_label,comparison_label,model_label
gemma2_9b_it,google/gemma-2-9b-it,label_only_minus_random,direct_label_completion,3.378929351435767,6.880662697655437,7.726769544794803,4.047172512025557,9.856882452133862,1.0,15,15,3,0.692876216789349,5,equal_mean_over_five_draws,Direct labels,Label-only minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,label_only_minus_random,opaque_completion,0.16781108379364013,1.192660032818175,1.029684238888655,-2.254951235732286,4.906290236341836,0.695703125,10,15,3,0.541653951069687,5,equal_mean_over_five_draws,Opaque codewords,Label-only minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,label_only_minus_random,letter_canonical,-0.230525090959337,-1.1971321480198325,-1.4833262377219667,-3.225013876785423,0.1398719578427898,0.19205729166666666,2,15,3,0.5780170012930951,5,equal_mean_over_five_draws,Original letters,Label-only minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,label_only_minus_random,letter_reversed,0.16994374063279893,1.105801470135914,0.7525749531880459,-0.7862085138986608,4.374253307823882,0.7368489583333333,13,15,3,0.5373481649313796,5,equal_mean_over_five_draws,Reversed letters,Label-only minus random,Gemma
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,label_only_minus_random,direct_label_completion,1.2879337787628173,8.026650923625224,8.39578634730904,2.9030932561992144,13.353884081905388,1.0,15,15,3,0.543181423265747,5,equal_mean_over_five_draws,Direct labels,Label-only minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,label_only_minus_random,opaque_completion,0.05833595394215073,2.923370305167274,2.906776672019221,0.199513041779172,5.939927411257339,0.9477864583333333,15,15,3,0.6499905594235097,5,equal_mean_over_five_draws,Opaque codewords,Label-only minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,label_only_minus_random,letter_canonical,0.06381942836774716,1.1929162774478512,1.2323548870063,-1.6352985153705113,4.911044960214282,0.7272135416666666,12,15,3,1.053511930010512,5,equal_mean_over_five_draws,Original letters,Label-only minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,label_only_minus_random,letter_reversed,0.04288536028729542,0.9124289363430944,1.3081156999349568,-2.0434109142521715,2.3274007731092,0.7319010416666667,11,15,3,0.4257532273333437,5,equal_mean_over_five_draws,Reversed letters,Label-only minus random,Llama
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,label_only_minus_random,direct_label_completion,2.6960094816154903,5.628030310004525,5.303697796558022,3.9059714117692255,8.217014035165741,1.0,15,15,3,0.5704700442079772,5,equal_mean_over_five_draws,Direct labels,Label-only minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,label_only_minus_random,opaque_completion,0.13318458882535594,1.1745566604003381,1.374648583808514,-0.5773697392889581,2.18910740503589,0.8391927083333334,14,15,3,0.2303020987242819,5,equal_mean_over_five_draws,Opaque codewords,Label-only minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,label_only_minus_random,letter_canonical,0.23775659799575802,0.6745675023562969,1.0387699847183756,-2.1911460175719544,2.353300127219318,0.694921875,12,15,3,0.4649120477490234,5,equal_mean_over_five_draws,Original letters,Label-only minus random,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,label_only_minus_random,letter_reversed,-0.4090972953372532,-0.5615723412145388,-1.5438101893455287,-3.828876190696485,4.160839919567188,0.3436197916666667,5,15,3,0.9449252254488825,5,equal_mean_over_five_draws,Reversed letters,Label-only minus random,Mistral
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,label_only_minus_random,direct_label_completion,3.0425349909812214,4.940371216596135,5.97772708185706,0.8559928470877746,8.118298453416706,0.9776041666666667,15,15,3,0.45821458359095313,5,equal_mean_over_five_draws,Direct labels,Label-only minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,label_only_minus_random,opaque_completion,0.7249668486775287,2.5830737218089044,2.9136177841902198,0.3775176236829813,3.831681659793076,0.9592447916666667,15,15,3,0.24663312924800881,5,equal_mean_over_five_draws,Opaque codewords,Label-only minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,label_only_minus_random,letter_canonical,0.5237718283302254,1.1491692512575187,1.0473471337092015,0.034317593771503,2.4682628793855703,0.8180989583333333,15,15,3,0.3042468400721415,5,equal_mean_over_five_draws,Original letters,Label-only minus random,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,label_only_minus_random,letter_reversed,0.6902359223407175,1.695500949030932,1.7740654045881608,-1.5368586353782243,5.184666964542911,0.7321614583333333,11,15,3,0.4899021323620519,5,equal_mean_over_five_draws,Reversed letters,Label-only minus random,Qwen
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,direct_label_completion,4.178149880303277,6.926020217367718,4.816583106000687,3.81187308266979,13.56149011495661,1.0,15,15,3,0.31602817196502503,5,equal_mean_over_five_draws,Direct labels,Mapping-balanced minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,opaque_completion,0.7891300151745478,2.765910677457109,3.179433565787132,0.1279348358866762,5.449949891260483,0.8755208333333333,15,15,3,0.31924191678928227,5,equal_mean_over_five_draws,Opaque codewords,Mapping-balanced minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,letter_canonical,-0.20745144420199926,-0.7933080513865994,-0.9079472863998532,-2.557496925816406,0.3919564733821318,0.28346354166666665,5,15,3,0.3067667271729562,5,equal_mean_over_five_draws,Original letters,Mapping-balanced minus random,Gemma
gemma2_9b_it,google/gemma-2-9b-it,mapping_balanced_minus_random,letter_reversed,0.8882347848680284,2.556276588798314,2.8106897637714905,0.399872396001969,4.01996569364199,0.94765625,15,15,3,0.4048663041978179,5,equal_mean_over_five_draws,Reversed letters,Mapping-balanced minus random,Gemma
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,mapping_balanced_minus_random,direct_label_completion,1.1395592212677002,5.845276476993943,5.12847260106801,2.653333461266567,9.98337951201786,1.0,15,15,3,0.3954532394188661,5,equal_mean_over_five_draws,Direct labels,Mapping-balanced minus random,Llama
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,mapping_balanced_minus_random,opaque_completion,0.3494214536075661,3.1780957724249363,3.183153506314561,0.8149887953649643,5.078689887422509,0.9725260416666667,15,15,3,0.15841692658114875,5,equal_mean_over_five_draws,Opaque codewords,Mapping-balanced minus random,Llama
