model_alias,layer_index,requested_layer_fraction,resolved_layer_fraction,mode,n_contrasts,n_mappings,mean_current_label_gain,mean_extraction_identifier_gain,mean_current_minus_identifier,mean_js_shift,model_label,extraction_identifier_advantage
gemma2_9b_it,20,0.5,0.4878048780487805,raw_canonical_direction_depth_norm_matched,3,5,0.058837513346225,-0.0255790603657563,0.0965558288929362,0.0355696437364176,Gemma,-0.0965558288929362
gemma2_9b_it,26,0.625,0.6341463414634146,raw_canonical_direction_depth_norm_matched,3,5,0.1856554138163725,-0.035374451149255,0.2558168497867882,0.1127601291640205,Gemma,-0.2558168497867882
gemma2_9b_it,31,0.75,0.7560975609756098,raw_canonical_direction_depth_norm_matched,3,5,-0.0102293566024551,0.1885740697694321,-0.2345002313920607,0.0928177880253338,Gemma,0.2345002313920607
gemma2_9b_it,36,0.875,0.8780487804878049,raw_canonical_direction_depth_norm_matched,3,5,-0.0143141842272598,0.1419443884243567,-0.1832944924147644,0.0580844273735337,Gemma,0.1832944924147644
llama3_1_8b_instruct,16,0.5,0.5161290322580645,raw_canonical_direction_depth_norm_matched,3,5,0.2568583399057388,-0.0135301212469736,0.3175356119871139,0.0907819235727077,Llama,-0.3175356119871139
llama3_1_8b_instruct,19,0.625,0.6129032258064516,raw_canonical_direction_depth_norm_matched,3,5,-0.0184899921218554,0.1846711367368698,-0.2389666383465131,0.0430036785985759,Llama,0.2389666383465131
llama3_1_8b_instruct,23,0.75,0.7419354838709677,raw_canonical_direction_depth_norm_matched,3,5,-0.0193250954151153,0.1611244251330693,-0.2112127919991811,0.0317850293352516,Llama,0.2112127919991811
llama3_1_8b_instruct,27,0.875,0.8709677419354839,raw_canonical_direction_depth_norm_matched,3,5,-0.0185553212960561,0.1131976375977198,-0.1529965549707412,0.0158696119723702,Llama,0.1529965549707412
mistral7b_instruct_v03,16,0.5,0.5161290322580645,raw_canonical_direction_depth_norm_matched,3,5,0.1548240662513611,0.3048014882777352,-0.1834105520121132,0.2832129187022615,Mistral,0.1834105520121132
mistral7b_instruct_v03,19,0.625,0.6129032258064516,raw_canonical_direction_depth_norm_matched,3,5,-0.0154361371365666,0.3625365770227897,-0.4680228124700079,0.2016016217857488,Mistral,0.4680228124700079
mistral7b_instruct_v03,23,0.75,0.7419354838709677,raw_canonical_direction_depth_norm_matched,3,5,-0.0230196003297654,0.3408948315132875,-0.4399789267525193,0.189729213153277,Mistral,0.4399789267525193
mistral7b_instruct_v03,27,0.875,0.8709677419354839,raw_canonical_direction_depth_norm_matched,3,5,-0.0230925268731274,0.2759206914478758,-0.3568087543351187,0.1416343839932327,Mistral,0.3568087543351187
qwen2_5_7b_instruct,14,0.5,0.5185185185185185,raw_canonical_direction_depth_norm_matched,3,5,0.0049166472922327,-0.0055685750658843,0.0125609750317683,0.0203345784115891,Qwen,-0.0125609750317683
qwen2_5_7b_instruct,17,0.625,0.6296296296296297,raw_canonical_direction_depth_norm_matched,3,5,0.0624685789507111,0.0097931589305214,0.0607261300534901,0.0271229887269502,Qwen,-0.0607261300534901
qwen2_5_7b_instruct,20,0.75,0.7407407407407407,raw_canonical_direction_depth_norm_matched,3,5,0.1242441660462191,0.1696352713133365,-0.0580068136769114,0.1265090821929665,Qwen,0.0580068136769114
qwen2_5_7b_instruct,24,0.875,0.8888888888888888,raw_canonical_direction_depth_norm_matched,3,5,-0.01011495851394,0.1088115479948555,-0.1394078707451162,0.0406491542683031,Qwen,0.1394078707451162
