requested_layer_fraction,mode,metric,mean,ci_low,ci_high,ci_excludes_zero,n_pairs,n_groups,n_strata,n_boot,confidence,inference_unit
0.5,raw_canonical_direction,extraction_identifier_advantage,-0.0353019236464888,-0.0426543406773055,-0.0281834299463724,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,extraction_identifier_advantage,0.0883410453043059,0.0812591355847909,0.0956161941990385,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,raw_canonical_direction,extraction_identifier_advantage,0.2359246909551681,0.2273692953486676,0.2443131191231869,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,raw_canonical_direction,extraction_identifier_advantage,0.3025064371709839,0.2928320003424774,0.3127109702661595,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,raw_canonical_direction,extraction_identifier_effect,0.0446306903679821,0.0410706038834374,0.0480718984082975,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,extraction_identifier_effect,0.1067597141995823,0.1036743216844282,0.1101368311923965,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,raw_canonical_direction,extraction_identifier_effect,0.2150571494322813,0.2099758295640272,0.2201488228271678,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,raw_canonical_direction,extraction_identifier_effect,0.2336107744621851,0.2281637617369354,0.2388905127327167,True,384,319,60,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.5,raw_canonical_direction,source_interface_effect,0.1320603842568743,0.1251374723242565,0.139281327091291,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.625,raw_canonical_direction,source_interface_effect,0.1839905195235284,0.1756147058325228,0.1926850437715682,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.75,raw_canonical_direction,source_interface_effect,0.3048954943621235,0.2937203866857004,0.3160085686826736,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
0.875,raw_canonical_direction,source_interface_effect,0.2898662352818064,0.2790742061557837,0.3005094452206801,True,384,319,12,5000,0.95,"setting_behavior_group; resampled jointly across models, contrasts, and mappings within depth"
